,,,,,,,,,,,
,,Framework,,,,,,,,https://www.youtube.com/watch?v=4ISPFDktcR0,"Framework: Email Revenue Stack System

1. Core structure

Rome Offer (flagship)
Recurring Offer (LTV driver)
Upsell (cash boost)
Premium Tier (profit layer)

2. Growth logic

Multiple entry → 1 core offer
Monetize at every stage

3. Email role

Drive traffic into system
Not handle full conversion

4. Revenue principle

Stack monetization layers
Increase LTV instead of just acquisition
Why this matters (ngắn, đúng kiểu Alex)
Chuyển email từ “channel” → business engine
Tối ưu:
LTV
monetization depth
Giảm phụ thuộc vào traffic volume"
,,,,,,,,,,,
6,YouTube,Tactics / Execution,Charlie Morgan Business,https://www.linkedin.com/in/charliemorganuk/,,,,,,https://www.youtube.com/watch?v=y813lOz4M5U,"1. Core Principle
Cold email performance = Market understanding + Offer clarity
Không phải personalization, không phải copywriting tricks
2. Avatar Depth > Personalization
Không cần research từng người
Cần hiểu sâu:
fears
desires
belief system
→ Nếu hiểu đúng: viết 1 email vẫn scale được
3. Offer = 80–90% kết quả
Offer = Outcome + Timeframe + Risk reversal
Email tốt nhất:
cực ngắn
chỉ nói offer
Nếu product yếu → không cứu được bằng copy
4. Structure of a High-Reply Cold Email
Name (pattern interrupt nhẹ)
Subject line → curiosity, không bán
Preview → support subject
Body:
mở nhanh
đi thẳng vào offer
CTA:
Direct (book call)
Indirect (reply → gửi thêm info)
5. Anti-patterns
Viết dài → chết
Nói về bản thân quá nhiều → chết
Footer phức tạp → giảm deliverability + trust
Copywriting tricks > offer → sai trọng tâm
5. Tại sao framework/tư duy này có giá trị

Nó đập thẳng vào misconception lớn nhất:

“cold email = viết hay / personalization”

Thay vào đó:
chuyển trọng tâm về offer-market fit
align với logic growth:
giống ads → creative không cứu được product yếu
Quan trọng hơn:
giúp scale (1 email → nhiều người)
giảm cost (không cần hyper-personalization)

→ Đây là tư duy mà team outbound nào cũng phải có nếu muốn grow."
,,,,,,,,,,,
7,YouTube,Tactics/Execution,Val Geisler,https://www.linkedin.com/in/lovevalgeisler/,,,,,,https://www.youtube.com/watch?v=q7-8vKHyq0c,"1. Email = Retention Engine (không phải Acquisition)

Doanh thu lớn đến từ khách hàng hiện tại (LTV, MRR)
Bán cho khách cũ dễ hơn rất nhiều → cần ưu tiên tối ưu

2. Segmentation là đòn bẩy chính
3 nhóm cần tập trung:

Ghosts: quan tâm nhưng chưa mua → nurture
Zombies: mua 1 lần → win-back
→ Không phải ai cũng cần giữ, tập trung đúng nhóm

3. Re-engagement phải có context

Trigger theo hành vi/thời điểm (không gửi vô nghĩa)
→ Email chỉ hiệu quả khi có lý do rõ ràng

4. Messaging phải xoay quanh khách hàng

“You asked → we built” hiệu quả hơn “we improved”
→ Tăng cảm giác được lắng nghe → tăng retention

5. Win-back & feedback = nguồn tăng trưởng bị bỏ qua

Re-engage khách cũ + lấy insight trực tiếp
→ Giúp cải thiện cả marketing lẫn product

6. Core principle

Không nói về brand
Chỉ tập trung vào vấn đề + kết quả của khách hàng

Final takeaway:

Email không giúp bạn có thêm khách nhanh hơn
mà giúp bạn kiếm nhiều tiền hơn từ khách đã có"
,,,,,,,,,,,
,,,,,,,,,,,
8,,CAse Study,Chase Dimond,https://www.linkedin.com/in/chasedimond/,,,,,,https://www.chasedimond.com/0-to-500k-email-subscribers-in-10-months,"Key Highlights – Chase Dimond (0 → 500K Email Subscribers Case Study)

1. Email growth = bài toán acquisition, không phải chỉ email marketing

Thành công đến từ multi-channel acquisition system, không phải 1 tactic đơn lẻ

2. Data-driven cold email là kênh chủ lực

Personalization dựa trên hành vi (hashtag, location, interest)
→ Insight: Data quality quyết định hiệu quả cold outreach

3. Incentivized referral (giveaways) giúp scale nhanh

Thưởng cho việc giới thiệu → tạo growth loop
→ Tăng trưởng không cần ads nếu có incentive đúng

4. Leverage sẵn audience thay vì build từ 0

Mua & rebrand social accounts
→ Insight: Distribution quan trọng hơn content ở giai đoạn đầu

5. Ambassador = mở rộng acquisition qua network

Dùng influencer + reward thay vì trả tiền trực tiếp
→ Cost per lead cực thấp

6. Prelaunch là giai đoạn vàng để thu email

Tận dụng curiosity & early access
→ Dễ capture user hơn khi chưa có kỳ vọng rõ ràng

7. Core principle

Growth đến từ:
đúng audience
đúng incentive
đúng distribution

Final takeaway:

Email list không tự tăng — phải được xây bằng một hệ thống acquisition có chủ đích"
,,,,,,,,,,,
9,Youtbe,Tactic,Joanna Wiebe,https://www.linkedin.com/in/jwiebe/,,,,,,https://www.youtube.com/watch?v=5gPWZ5-w_yw,"1. SaaS email ≠ normal email
Phải viết khác hoàn toàn (tone, structure, length)
Không áp dụng logic eCommerce / storytelling dài
2. First customer ≠ end user
Người duyệt (PM, marketer, CMO) mới là “gatekeeper”
Email fail thường vì không được approve, không phải vì không convert
3. Constraint-driven writing

Email SaaS phải:

Ngắn
Theo template/design có sẵn
Đúng voice & tone brand

→ Creativity bị giới hạn → phải tối ưu trong constraint

4. Standard SaaS email structure
Headline (1–2 lines, centered)
1-line hook (question / data / story)
Build line → payoff
Introduce feature
Show (image/GIF)
Explain (rule of 3)
CTA button

→ Format này = “safe to ship & test”

5. Feature-first (but not feature-first)
Không mở đầu bằng feature
Nhưng luôn phải link về feature rất nhanh
6. Sound matters (unexpected insight)
SaaS vẫn cần “nghe hay”
Dùng:
short sentences
rhetorical devices (rule of 3, contrast…)
Tránh “work words” (learn, optimize…)
7. Safe → win → then innovate
Bước 1: viết theo convention để được approve
Bước 2: thắng A/B test
Bước 3: mới phá rule
3. Why this matters
Giải thích lý do vì sao:
nhiều email “đúng copywriting” nhưng không bao giờ được gửi
Đưa ra cách tiếp cận thực tế:
optimize within org constraints, không phải chỉ optimize cho user"
,,,,,,,,,,,
10,Youtbe,Strategy,"
Adam Robinson",https://www.linkedin.com/in/retentionadam/,,,,,,https://www.youtube.com/watch?v=ACMED_IDZb8,"1. Infrastructure > Copy
Deliverability quyết định thành bại
Message hay = vô nghĩa nếu vào spam
2. Warm audience before cold outreach
Build awareness (LinkedIn) trước khi email
“Cold” email thực tế là semi-warm
3. Multi-channel → email
LinkedIn → tạo demand
Email → convert
4. Personalization at scale (AI)
Không generic template
→ mỗi email = context riêng (behavior, profile)
5. Timing-based outreach
Email ngay khi:
vừa visit website
→ conversion cao nhất
6. Simplicity wins
Email tốt nhất:
rất ngắn
rõ benefit
CTA đơn giản
7. System > campaign
3 layers:
waitlist (warm)
cold outbound
website retargeting

→ combine → 42% revenue

8. Long testing window
4 tháng test liên tục
Không optimize quá sớm
4. Why this matters
Chỉ ra sai lầm phổ biến:
tập trung viết email → thay vì build system
Đưa ra hướng đúng:
email = growth engine, không phải 1 tactic"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,"1. Val Geisler
SaaS onboarding + retention
→ HIGH PRIORITY
2. Samuel Hulick
Product onboarding emails
→ SaaS-specific (rất sát đề)
3. Wes Bush
Email trong PLG funnel
→ strategic layer
4. Katelyn Bourgoin
Messaging + buyer insight
→ dùng cho nurture email
Tactics / Execution
5. Chase Dimond
Email flows, segmentation
→ thực chiến
6. Andriy Boychuk
SaaS email campaigns
→ rất đúng niche
7. Josh Spector
Newsletter growth
→ content + distribution
8. Justin Welsh
System hóa newsletter
→ execution rõ
Tooling / Applied
9. Peep Laja
Testing email + messaging
→ optimization layer
10. Hiten Shah
Product + email insights
→ high-level nhưng vẫn practical"
